car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,engine_displacement,horsepower,mileage_per_year,power_per_liter,predicted_price
Audi A5 Coupe S Edition 2.0 TDI 140kw/190pk Multitronic,,4,Diesel,Automatic,Coupe,A5,72105,2.0,190.0,16023.333333333334,95.0,
"Audi A4 Avant 2.0 TDI DESIGN PRO LINE PLUS 190pk, Sportstoelen, Virtual cockpit, Achteruitrijcamera",,3,Diesel,Automatic,Station wagon,A4,27404,2.0,190.0,7829.714285714285,95.0,
Audi Q3 2.0 TDi SPORT Pr.L / NAVI / LED / XENON,,3,Diesel,Manual,SUV,Q3,115528,2.0,,33008.0,,
Audi A6 3.2 FSI QUATTRO PRO LINE 1e eigenaar/ NL-auto/ Navigatie/ Xenon/ Leder/ Park.sens/ 18 inch lmv,,12,Petrol,Automatic,Sedan,A6,190759,,,15260.72,,
Audi Q3 2.0 TDI 150PK ULTRA Navi ECC LMV ABS PDC incl btw/bpm,,3,Diesel,Manual,SUV,Q3,4011,2.0,150.0,1146.0,75.0,
Audi A4 2.0 TDI Pro Line,,9,Diesel,Automatic,Station wagon,A4,352000,2.0,,37052.63157894737,,
Audi A3 Sportback 1.6 TDI Attraction met Leer Navigatie Bose 17'lmv,,9,Diesel,Manual,Hatchback,A3,198020,1.6,,20844.21052631579,,
Audi A1 Sportback 1.4 TDI 90PK 5D PRO LINE BNS [ CRUISE+CLIMAAT+NAVI+PDC ],,3,Diesel,Manual,Hatchback,A1,57461,1.4,90.0,16417.428571428572,64.28571428571429,
Audi A4 Avant 1.8 TFSI S-LINE LEDER/NAVI/PANO/XENON,,8,Petrol,Manual,Station wagon,A4,209078,1.8,,24597.41176470588,,
Audi A3 Sportback 2.0 TDI Ambition Pro Line Stoelverwarming Navi Airco Bluetooth,,6,Diesel,Manual,Hatchback,A3,132879,2.0,,20442.923076923078,,
Audi Q5 3.0TDI AUT. QUATTRO PRO LINE NAVI | LEDER | XENON,,4,Diesel,Automatic,SUV,Q5,33894,3.0,,7532.0,,
Audi A5 Sportback 1.8 TFSI Pro-line   Navi   19'' Lm velgen,,5,Petrol,Automatic,Hatchback,A5,103230,1.8,,18769.090909090908,,
Audi A6 2.4 AVANT 125KW AUTOMMAAT,,16,Petrol,Automatic,Station wagon,A6,231918,,,14055.636363636364,,
"Audi A1 Sportback 1.0 TFSi 95 pk Adrenalin / S Line exterieur / 17""",,3,Petrol,Manual,Hatchback,A1,51351,1.0,95.0,14671.714285714286,95.0,
Audi A8 Pro Line Plus 3.0 TDI 184kw/250pk quattro Tiptronic 8,,9,Diesel,Automatic,Sedan,A8,116451,3.0,250.0,12258.0,83.33333333333333,
Audi A1 Sportback 1.0 TFSI Aut. Adrenalin,,3,Petrol,Automatic,Hatchback,A1,15478,1.0,,4422.285714285715,,
Audi A3 Limousine 1.6 TDI ATTR. PRO LINE Navi Airco Cruise,,5,Diesel,Manual,Sedan,A3,179278,1.6,,32596.0,,
Audi Q2 1.0 TFSI #LIMITED 85 kW / 116 pk S-Tronic,,1,Petrol,Automatic,SUV,Q2,15500,1.0,116.0,10333.333333333334,116.0,
Audi A4 1.8 TFSI Pro Line Business super nette auto van de 1e eigenaar en volledig garage onderhouden!,,11,Petrol,Automatic,Sedan,A4,91230,1.8,,7933.04347826087,,
Audi TT 2.0 Tfsi 230pk Quattro Pro Line S | Navigatie | Virtual Cockpit | B&O Sound | Led Koplampen | | Fabrieks Garantie t/m 01-04-2019 of 100.000km,,4,Petrol,Automatic,Coupe,TT,76853,2.0,230.0,17078.444444444445,115.0,
Audi A3 Sportback 1.0 TFSI Lease Edition 116 pk (vsb 19215) voorraaddeal,,1,Petrol,Manual,Hatchback,A3,0,1.0,116.0,0.0,116.0,
Audi A5 2.0 TFSi S.B. Quattro 211pk ECC NAV LEDER B&O XENON 18'',,10,Petrol,Automatic,Hatchback,A5,100609,2.0,211.0,9581.809523809523,105.5,
Audi A3 1.6 16V Ambition S-line CLIMA YOUNGTIMER ZWART,,16,Petrol,Manual,Hatchback,A3,132579,,,8035.090909090909,,
Audi A3 Sportback 30 TFSI 116pk PRO LINE * AIRCO * NAVIGATIE * CRUISE CONTROL * VSB8138,,1,Petrol,Manual,Hatchback,A3,0,30.0,116.0,0.0,3.8666666666666667,
Audi Q5 2.0 TFSI QUATTRO AUT. NAVI / XENON / LEDER,,8,Petrol,Automatic,SUV,Q5,141840,2.0,,16687.058823529413,,
Audi A4 Audi A4 Avant 2.0 TDI Pro Line Business,,5,Diesel,Manual,Station wagon,A4,142669,2.0,,25939.81818181818,,
Audi A3 Sportback 30 TFSI Sport S Line Edition 85 kW / 116 pk,,0,Petrol,Automatic,Hatchback,A3,0,30.0,116.0,0.0,3.8666666666666667,
Audi A4 LIMOUSINE 1.8 TFSI 170 PK BUSINESS EDITION / NAVI / XENON / 17'',,6,Petrol,Manual,Sedan,A4,97029,1.8,170.0,14927.538461538461,94.44444444444444,
Audi A4 Avant 1.4 TFSI Design Pro Line Automaat | Navigatie | Electrische achterklep | Cruise & Climate Control,,3,Petrol,Automatic,Station wagon,A4,49502,1.4,,14143.42857142857,,
Audi A1 Sportback 1.0 TFSI Sport Pro Line,,4,Petrol,Automatic,Hatchback,A1,24379,1.0,,5417.555555555556,,
Audi A3 1.6 SPORTBACK 85KW Ambiente,,13,Petrol,Manual,Hatchback,A3,195116,,,14453.037037037036,,
"Audi A4 Avant 1.8 TFSI BUSINESS EDITION Navigatie Clima MMi PDC Xenon 17"" LM 170Pk! Zondag a.s. open!",,5,Petrol,Manual,Station wagon,A4,94817,1.8,170.0,17239.454545454544,94.44444444444444,
"Audi A7 Sportback 3.0 TFSI QUATTRO PRO LINE PLUS (occasion) 300 PK , Leder,Navi, Parkeerhulp camera",,8,Petrol,Automatic,Hatchback,A7,109064,3.0,300.0,12831.058823529413,100.0,
"Audi A3 Limousine 1.5 TFSI SPORT S LINE , B&O Sound, 18 Inch, Prive Glas, Parkeersensoren, LED",,2,Petrol,Automatic,Sedan,A3,14523,1.5,,5809.2,,
Audi A3 Sportback 2.0 FSI Ambiente 135dkm NAP / 2e EIG / FULL SERVICE ! !,,12,Petrol,Manual,Hatchback,A3,136448,,,10915.84,,
"Audi A3 Limousine 1.6 TDI Ambition Pro Line, Navigatie",,4,Diesel,Manual,Sedan,A3,58796,1.6,,13065.777777777777,,
"Audi Q3 1.4 TFSI AUT! Pro Line, XENON, STOELV., AFN. TREKHAAK",,5,Petrol,Automatic,SUV,Q3,75375,1.4,,13704.545454545454,,
Audi S6 Avant 4.0 V8 TFSI 421pk Quattro Pro Line Plus /NAVI/Schaalstoelen/PDC/Panoramadak/BI-LED verlichting/20'LM!,,5,Petrol,Automatic,Station wagon,S6,171317,8.0,421.0,31148.545454545456,52.625,
Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,
Audi A6 3.0 TDI BiT 313PK/S-Line/Quattro/Volleer/Memory,,7,Diesel,Automatic,Station wagon,A6,122072,3.0,313.0,16276.266666666666,104.33333333333333,
Audi A3 Sportback 30 TFSI 116pk S Line Edition + LED Koplampen + Getint glas,,1,Petrol,Manual,Hatchback,A3,0,30.0,116.0,0.0,3.8666666666666667,
Audi A4 1.8 TFSI Pro Line Business Navi Climate Control 200x Vw-Audi-Seat-Skoda,,11,Petrol,Manual,Sedan,A4,206291,1.8,,17938.347826086956,,
Audi A1 1.2 TFSI 63KW PROLINE 3DRS,,8,Petrol,Manual,Hatchback,A1,97585,1.2,,11480.588235294117,,
Audi A5 Cabriolet 2.0 190 PK TFSI MHEV S LINE EDITION Virtual Cockpit | Hoofdruimte verwarming| WLTP VOORDEEL !! *NIEUW* (522199),,1,Petrol,Automatic,Cabriolet,A5,0,,190.0,0.0,,
Audi A6 3.0 TDI Bi Turbo quattro Sport Edition 313PK,,5,Diesel,Automatic,Sedan,A6,99216,3.0,313.0,18039.272727272728,104.33333333333333,
Audi A6 Allroad 3.0 TFSI 290pk quattro tiptronic ProLine,,11,Petrol,Automatic,Station wagon,A6,119245,3.0,290.0,10369.130434782608,96.66666666666667,
Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,
Audi A1 Sportback 1.0 TFSI Adrenalin S-Line Exterieur Automaat Dealer Onderhouden! Navi Cruise Control ECC LMV PDC,,3,Petrol,Automatic,Hatchback,A1,94807,1.0,,27087.714285714286,,
Audi A3 Sportback 1.0 TFSI 115pk Sport Automaat Climate control Cruise control LED,,1,Petrol,Automatic,Hatchback,A3,24401,1.0,115.0,16267.333333333334,115.0,
Audi A6 2.0 TDI Pro Line Avant Automaat,,6,Diesel,Automatic,Station wagon,A6,110982,2.0,,17074.153846153848,,
Audi A1 Sportback 1.0 TFSI 95PK,,1,Petrol,Manual,Hatchback,A1,17130,1.0,95.0,11420.0,95.0,
Audi A1 Sportback 1.0 TFSI Advance Sport,,1,Petrol,Manual,Hatchback,A1,0,1.0,,0.0,,
Audi A6 Avant 326PK BiTD Comp. Luchtv.|Pano|20'',,2,Diesel,Automatic,Station wagon,A6,9614,,326.0,3845.6,,
Audi A4 2.0 TDI AUTOMAAT BUSINESS! BTW AUTO,,6,Diesel,Automatic,Sedan,A4,73095,2.0,,11245.384615384615,,
Audi A1 Sportback 1.0 TFSI 95pk Adrenalin Navigatie Cruise,,2,Petrol,Manual,Hatchback,A1,21374,1.0,95.0,8549.6,95.0,
Audi Q5 3.0 TDI QUATTRO S LINE INTER. EXTER.,,6,Diesel,Automatic,SUV,Q5,111094,3.0,,17091.384615384617,,
Audi Q7 3.0 TDI 272PK Tiptronic Quattro (Navigatie/Xenon/Lederen bekleding),,2,Diesel,Automatic,SUV,Q7,29001,3.0,272.0,11600.4,90.66666666666667,
Audi A6 2.0 TDI 177PK AUT. BUSINESS EDITION   LEDER   SPORTSTOELEN   PDC,,6,Diesel,Automatic,Station wagon,A6,167387,2.0,177.0,25751.846153846152,88.5,
"Audi A4 | Binnenkort binnen | 40 TFSI Sport S line Edition | MMi navigatie | 18 "" | Bluetooth | Sportstoelen | Climate control | Cruise control | Sportstuur |",,1,Petrol,Automatic,Sedan,A4,0,40.0,,0.0,,
Audi Q2 1.4 TFSI CoD 150pk S tronic Sport,,0,Petrol,Automatic,Hatchback,Q2,0,1.4,150.0,0.0,107.14285714285715,
Audi A5 Sportback 2.0 TFSI MHEV Sport S-line Edition 190 pk S tronic (vsb 20629),,1,Petrol,Automatic,Hatchback,A5,0,2.0,190.0,0.0,95.0,
Audi A4 Avant 1.4 TFSI S line Edition,,1,Petrol,Automatic,Station wagon,A4,25280,1.4,,16853.333333333332,,
Audi A3 Sportback 1.6 TDI Sport S Line Edition 85 kW / 116 pk,,1,Diesel,Automatic,Hatchback,A3,0,1.6,116.0,0.0,72.5,
"Audi S3 Sportback 2.0 TFSI S3 quattro Pro Line Plus ,B&O, Aut.!",,6,Petrol,Automatic,Hatchback,S3,68990,2.0,,10613.846153846154,,
"Audi A5 Coupé 1.8 TFSI Pro Line Business I Navigatie I 19"" Sport velgen I Dealer onderhouden",,8,Petrol,Manual,Coupe,A5,161104,1.8,,18953.41176470588,,
Audi RS6 605pk -Akrapovic/NL-auto/Dynamic/280vmax-,,2,Petrol,Automatic,Station wagon,RS6,19900,,605.0,7960.0,,
"Audi Q5 2.0 Tfsi 252pk S-tronic Quattro S-line €14.000,= KORTING Navigatie Plus, Xenon, PDC voor en achter enz",,1,Petrol,Automatic,SUV,Q5,0,2.0,252.0,0.0,126.0,
Audi A4 2.0 Pro Line Business,,14,Petrol,Manual,Sedan,A4,245000,,,16896.55172413793,,
Audi A5 Sportback 1.8 TFSI PRO LINE LED/Xenon | Navi | Clima | Cruise | Radio/Cd | LMV | PDC,,8,Petrol,Manual,Hatchback,A5,132644,1.8,,15605.176470588236,,
Audi A1 Sportback 1.0 TFSI 95PK Adrenalin (S-Line exterieur) / Dak en spiegels in contrastkleur / S-Line pakket exterieur / 17 inch LM velgen / Navigatie MMI / Bluetooth telefoon / Audio streaming,,3,Petrol,Manual,Hatchback,A1,62854,1.0,95.0,17958.285714285714,95.0,
"Audi A1 Sportback 1.0TFSI/95pk Advance Sport · S-Line · Bi-xenon · 17""LM velgen",,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,
Audi A6 Allroad 3.0 TDI Pro Line Navi/Xenon/leder-alcantara -64.834km! -,,13,Diesel,Manual,SUV,A6,64834,3.0,,4802.518518518518,,
Audi A4 Avant 40 TFSI Sport S line edition 140 kW / 190 pk,,1,Petrol,Automatic,Station wagon,A4,0,40.0,190.0,0.0,4.75,
Audi RS6 Avant 4.0 TFSI 605PK tiptronic quattro performance Pro Line Plus | Matrix LED koplampen | Panoramadak | Head-up Display | Alcantara hemel | Keramische remmen | Rondomzicht camera | Verlengde garantie t/m 3-1-2021 of 150.000 km | Elektrische stoelverstelling | Valcona/alcantara | 21 inch lichtmetalen velgen | Keyless En,,2,Petrol,Automatic,Station wagon,RS6,43821,4.0,605.0,17528.4,151.25,
Audi A1 Sportback 1.0 Tfsi 95pk Adrenalin | Navigatie | Airco | BlueTooth | Lm Velgen | Fabrieks Garantie t/m 10-10-2021 of 100.000km,,2,Petrol,Manual,Hatchback,A1,20505,1.0,95.0,8202.0,95.0,
Audi A6 3.0tdi pro line business quattro tiptronic aut,,15,Diesel,Automatic,Sedan,A6,300709,3.0,,19400.58064516129,,
Audi A3 1.6 ATTRACTION LEDER-XENON-LMV-CRUISE CONTROL,,14,Petrol,Manual,Hatchback,A3,137302,,,9469.103448275862,,
Audi A4 Avant 2.0,,16,Petrol,Manual,Station wagon,A4,338792,,,20532.848484848484,,
"Audi A6 Avant 3.0 TDI QUATTRO 2 maal S Line Nieuwprijs 115.000,- Euro",,2,Diesel,Automatic,Station wagon,A6,1010,3.0,,404.0,,
Audi A4 Avant 1.8 Tfsi 125kW Multitronic S-Line Edition Xenon/Led/Pdc/Bt/Ecc/Crc/Lmv,,6,Petrol,Automatic,Station wagon,A4,114701,1.8,,17646.30769230769,,
Audi A3 Sportback 1.0 TFSI 116pk Pro Line MMI Navigatie / Audi Connect / Bi-xenon verlichting,,2,Petrol,Manual,Hatchback,A3,19174,1.0,116.0,7669.6,116.0,
"Audi A1 1.4 TFSI Ambition Pro Line, cruise control, airco, nw distributieketting",,8,Petrol,Manual,Hatchback,A1,121487,1.4,,14292.588235294117,,
Audi A4 2.0 TFSI Pro Line Business,,11,Petrol,Manual,Station wagon,A4,178102,2.0,,15487.130434782608,,
Audi A3 Sportback 1.4 TFSI S-LINE XENON / HALF LEER / NAVIGATIE /,,9,Petrol,Manual,Hatchback,A3,184697,1.4,,19441.78947368421,,
Audi A6 Avant 2.4 V6 Aut. PRO LINE Navi-Clima-Privacy glass,,14,Petrol,Automatic,Station wagon,A6,188604,,,13007.172413793103,,
Audi A4 AVANT 1.8 TFSI 170 PK BUSINESS EDITION / NAVIGATIE / XENON / 17',,4,Petrol,Manual,Station wagon,A4,89695,1.8,170.0,19932.222222222223,94.44444444444444,
Audi A4 3.2 FSI PRO LINE,,10,Petrol,Automatic,Sedan,A4,191168,,,18206.47619047619,,
"Audi A6 1.8 TFSI 190pk Advance Sport S-Tronic, uw voordeel is € 3.130,-",,1,Petrol,Automatic,Sedan,A6,0,1.8,190.0,0.0,105.55555555555556,
"Audi A6 Avant 1.8 TFSI 190pk ULTRA S LINE EDITION ""Zwart optiek"" Automaat S-Line interieur & exterieur pakket / MMI Navigatie plus",,1,Petrol,Automatic,Station wagon,A6,9000,1.8,190.0,6000.0,105.55555555555556,
Audi A3 Sportback 1.6 TDI Adrenalin Sport | S-Line | Xenon | Navigatie |,,3,Diesel,Manual,Hatchback,A3,127723,1.6,,36492.28571428572,,
Audi A3 Sportback 1.2 TFSI 5drs | Clima | Cruise | Stoelverwarming | PDC,,3,Petrol,Manual,Hatchback,A3,52669,1.2,,15048.285714285714,,
Audi A1 sportback 1.2 tsi 140 PK Admired navi,,5,Petrol,Manual,Hatchback,A1,44500,1.2,140.0,8090.909090909091,116.66666666666667,
Audi SQ7 4.0 TDI Quattro Pro Line + 7-zits,,1,Diesel,Automatic,SUV,SQ7,0,4.0,,0.0,,
Audi A1 Sportback 30 TFSI 116pk EPIC | Virtual Cockpit | Contrastpakket 2 - Zwart | NIEUW MODEL | *NIEUW* (558622),,1,Petrol,Automatic,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,
Audi A3 Sportback 1.2 TFSI S EDITION AUT.,,6,Petrol,Automatic,Hatchback,A3,99987,1.2,,15382.615384615385,,
Audi A1 Sportback 30TFSI/116pk Epic · Virtual cockpit · Airconditioning volautomatisch · Connected services,,1,Petrol,Manual,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,
Audi A6 2.0 TFSI Business Edition AUTOMAAT/NAVI/LEDER,,10,Petrol,Automatic,Sedan,A6,159002,2.0,,15143.047619047618,,
Audi A4 Avant 1.8 TFSI Pro Line Business | ECC | Navi | Leder | Afneembare trekhaak,,11,Petrol,Manual,Station wagon,A4,237403,1.8,,20643.739130434784,,
Audi A3 Sportback 1.0 TFSI 6-bak Lease Edition,,1,Petrol,Manual,Hatchback,A3,0,1.0,,0.0,,
Audi A3 Sportback 1.0 TFSI 6-bak S-Line Edition,,1,Petrol,Manual,Hatchback,A3,0,1.0,,0.0,,
Audi A1 1.2 TFSI Connect / NAVI / 3 DEURS,,8,Petrol,Manual,Hatchback,A1,204520,1.2,,24061.176470588234,,
Audi A3 1.4tfsi cod pro line plus s-tronic xenon led,,6,Petrol,Automatic,Sedan,A3,89999,1.4,,13846.0,,
Audi Q5 2.0 TFSI HYBRID QUATTRO AUT. [ Navi Xenon Leder ],,7,Petrol,Automatic,SUV,Q5,123423,2.0,,16456.4,,
Audi A3 Sportback 1.4 TFSI Ambition Pro Line plus *Navigatie | Drive Select | Cruise control | Comfortstoelen* NL-auto | BTW!!,,6,Petrol,Automatic,Hatchback,A3,71694,1.4,,11029.846153846154,,
Audi A3 Sportback 1.4 TFSI 150 PK AMBITION + Chroom + Stoelverwarming +,,4,Petrol,Manual,Hatchback,A3,54431,1.4,150.0,12095.777777777777,107.14285714285715,
Audi A4 1.4 TFSI SPORT S LINE EDITION | Akoestisch glas | Zonwering achter-/zijruiten Fabrieks Garantie t/m 03-04-2022 of 100.000km,,1,Petrol,Automatic,Station wagon,A4,10334,1.4,,6889.333333333333,,
Audi A6 2.0 TFSI Business Ed.   Navi   Cruise   Automaat,,9,Petrol,Automatic,Sedan,A6,149447,2.0,,15731.263157894737,,
Audi A1 1.4 TFSI Ambition Pro Line | NAVI | MP3 | TOPSTAAT,,8,Petrol,Manual,Hatchback,A1,97800,1.4,,11505.882352941177,,
Audi A3 Sportback 2.0 TDI AMBIENTE Automaat ClimateControl CruiseControl,,7,Diesel,Automatic,Hatchback,A3,165541,2.0,,22072.133333333335,,
Audi A3 SPORTBACK 1.4 TFSI PROLINE+ XENON LEDER NAVI CLIMA CRUISE LICHTMETAAL,,6,Petrol,Manual,Hatchback,A3,159010,1.4,,24463.076923076922,,
Audi RS5 Coupe 4.2 FSi 450pk Quattro S-Tronic | RS Sportuitlaat | B&O Sound |,,6,Petrol,Automatic,Coupe,RS5,72362,,450.0,11132.615384615385,,
Audi A3 Limousine 1.0 TFSI SPORT Automaat * Panoramadak * Navi * Led / Xenon *,,2,Petrol,Automatic,Sedan,A3,48981,1.0,,19592.4,,
"Audi Q5 2.0 TDI 190pk S-tronic Quattro Design Pro Line + € 4.000,- INRUILPREMIE!!",,1,Diesel,Automatic,SUV,Q5,0,2.0,190.0,0.0,95.0,
Audi A6 Avant 2.0 TDI 136pk Automaat S-line Climate Control Leder Navigatie S,,5,Diesel,Automatic,Station wagon,A6,109470,2.0,136.0,19903.636363636364,68.0,
"Audi A1 Sportback 95pk S-tromic Active | 18"" | NW PRIJS € 28.570,-!",,1,Petrol,Automatic,Hatchback,A1,50,,95.0,33.333333333333336,,
Audi A6 2.0 TFSI 180PK Automaat PRO LINE S 100% DEALERONDERHOUDEN,,6,Petrol,Automatic,Sedan,A6,111410,2.0,180.0,17140.0,90.0,
Audi A8 3.0 TDI QUATTRO LANG Matrix Bose Adapt. cruise Matrix Bose Adapt. cruise Schuifdak 259PK! Zondag a.s. open!,,4,Diesel,Automatic,Sedan,A8,47365,3.0,259.0,10525.555555555555,86.33333333333333,
"Audi A3 Sportback 1.0 Tfsi 116pk S Line Edition, Mmi navigatie, Telefoon, Parkeersensoren",,1,Petrol,Manual,Hatchback,A3,0,1.0,116.0,0.0,116.0,
Audi A3 Sportback 30 TFSI Lease Edition 85 kW / 116 pk,,0,Petrol,Manual,Hatchback,A3,0,30.0,116.0,0.0,3.8666666666666667,
Audi A1 1.4TFSi AMBITION AUT NAVI,,6,Petrol,Automatic,Hatchback,A1,114008,1.4,,17539.69230769231,,
Audi TT Roadster 2.0 TFSI PRO LINE S S-LINE NW STAAT,,8,Petrol,Manual,Cabriolet,TT,105405,2.0,,12400.588235294117,,
Audi A4 2.0 TDI Aut. Avant 177PK S-line [ xenon navi ],,5,Diesel,Automatic,Station wagon,A4,144236,2.0,177.0,26224.727272727272,88.5,
Audi A6 3.0 TDI 272PK tiptronic Quattro Premium Edition | Matrix LED | Wegklapbare trekhaak | Valcona leder | Rondomzicht camera | Luchtvering | Elektrische stoelverstelling | Verlengde fabrieksgarantie t/m 19-3-2020 of 100.000 km | Navigatie MMI+ | Bose sound | 20 inch lichtmetalen velgen | Stoelverwarming/-v,,4,Diesel,Automatic,Sedan,A6,63146,3.0,272.0,14032.444444444445,90.66666666666667,
Audi A3 Sportback 1.6 TDI PRO LINE | NAVIGATIE | LEER | XENON | 17 INCH | ALL-IN!!,,7,Diesel,Manual,Hatchback,A3,129978,1.6,,17330.4,,
Audi A1 1.2 TFSI PRO LINE S-Line ECC Xenon Navi Cruise Control Sportstoelen 18 Inch,,6,Petrol,Manual,Hatchback,A1,57151,1.2,,8792.461538461539,,
Audi A5 Sportback 35 TFSI Sport S-line Edition 110 kW / 150 pk,,1,Petrol,Automatic,Hatchback,A5,0,35.0,150.0,0.0,4.285714285714286,
Audi Q2 1.0 TFSI Limited Edition S-Tronic Navigatie LED Schuifdak [Elke Zondag Open],,1,Petrol,Automatic,SUV,Q2,7500,1.0,,5000.0,,
Audi A6 2.0TFSi Aut. ProLine Plus (Leder/Xenon),,7,Petrol,Automatic,Sedan,A6,97051,2.0,,12940.133333333333,,
Audi A3 1.2 TFSI Sportback Automaat S-TRONIC,,7,Petrol,Automatic,Hatchback,A3,172575,1.2,,23010.0,,
Audi A3 Sportback 1.0 TFSI Lease Edition,,2,Petrol,Manual,Hatchback,A3,22600,1.0,,9040.0,,
"Audi A4 Avant 1.4 TFSI Sport 150pk S-Tronic Proline, (Autom.airco,S-line ext.,MMI Navigatie, Choompakket,Spiegels inklapb.,Pdc,)",,1,Petrol,Automatic,Station wagon,A4,9900,1.4,150.0,6600.0,107.14285714285715,
Audi A6 2.7 TDI QUATTRO PRO L MMI NAVI LEER XENON SPORTSTOELEN ENZ,,10,Diesel,Automatic,SUV,A6,134914,2.7,,12848.952380952382,,
Audi A3 1.2 TFSI Amb. Pro Line Plus S-Tronic Automaat*Navi/Sportstoelen/Bi-Xenon/LED*,,4,Petrol,Automatic,Hatchback,A3,66038,1.2,,14675.111111111111,,
Audi Q5 2.0 TFSI Quattro Pro Line Automaat Navi Xenon Leder ECC LMV PDC LED Dealer Onderhouden! 94dKM!!,,8,Petrol,Automatic,SUV,Q5,93745,2.0,,11028.823529411764,,
Audi A4 Avant 1.4 TFSI Pro Line,,2,Petrol,Manual,Station wagon,A4,32409,1.4,,12963.6,,
"Audi A1 Sportback 1.0 TFSi 95 pk Pro Line / navi / 15""",,3,Petrol,Manual,Hatchback,A1,70377,1.0,95.0,20107.714285714286,95.0,
Audi A3 Sportback 3.2 V6 250 PK QUATTRO AUT. + LEDER / BOSE / NAVIGATIE / XENON,,13,Petrol,Automatic,Hatchback,A3,196580,,250.0,14561.481481481482,,
Audi A6 Avant New 40 TDI 204pk S tronic Launch Edition Sport,,0,Diesel,Automatic,Station wagon,A6,0,40.0,204.0,0.0,5.1,
Audi A4 Avant 2.0 TDI PRO LINE Navi / Cruise Control / Drive Select / LMV 17'' !!! FABRIEKSGARANTIE t/m 14-05-2019 !!!,,2,Diesel,Manual,Station wagon,A4,6939,2.0,,2775.6,,
"Audi A1 Sportback 1.0 TFSI 95pk Adrenalin S-Line + MMI Navigatie + 17"" LMV",,3,Petrol,Manual,Hatchback,A1,31243,1.0,95.0,8926.57142857143,95.0,
Audi A3 Sportback 1.5 TFSI 150pk CoD ultra S tronic S Line Edition,,0,Petrol,Automatic,Hatchback,A3,0,1.5,150.0,0.0,100.0,
Audi A6 Avant 2.0 A/T 170PK NAVI/XENON/PDC!,,8,Petrol,Automatic,Station wagon,A6,148321,,170.0,17449.529411764706,,
Audi A6 Avant 40 TDI Launch edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,40.0,,0.0,,
Audi A4 AVANT 2.0 TDI 190 pk QUATTRO S-Line S-Tronic Aut. [ virtual cockpit standkachel ],,3,Diesel,Automatic,Station wagon,A4,83107,2.0,190.0,23744.85714285714,95.0,
"Audi A1 1.4 TFSI S-Line Aut. 122PK, Bose, Leder, Navi, Xenon",,7,Petrol,Automatic,Hatchback,A1,57170,1.4,122.0,7622.666666666667,87.14285714285715,
Audi Q5 2.0 TFSI QUATTRO PRO LINE Xenon/PDC/Navigatie/Climate.,,10,Petrol,Automatic,SUV,Q5,162403,2.0,,15466.952380952382,,
Audi A3 Sportback 1.4 TFSI AMBITION PRO LINE NAVI-ECC-LMV-DAKRAIL-CRUISE CONTROL,,10,Petrol,Manual,Hatchback,A3,188663,1.4,,17967.904761904763,,
Audi TT 1.8 5V Turbo BUDGET OCCASION,,14,Petrol,Manual,Coupe,TT,127375,,,8784.48275862069,,
Audi A3 1.2 TFSI 81KW SPORTBACK Attraction proline,,4,Petrol,Manual,Hatchback,A3,25485,1.2,,5663.333333333333,,
Audi A6 3.0 TDI 204PK S-Tronic Sport Edition | S-line in-/exterieur | Navigatie | Xenon | Parkeersensoren | Climatronic | 19 inch lichtmetalen velgen | Audi drive select | Alarm | Cruise control | Regen-/lichtsensor | Trekhaak voorbereiding | Keyless go | Leder/stof bekleding,,5,Diesel,Automatic,Sedan,A6,59678,3.0,204.0,10850.545454545454,68.0,
Audi A4 Avant 4.2 FSI RS4 33.000km B&O soundsysteem ACC Carbon Keyless Go Panoramadak,,7,Petrol,Automatic,Station wagon,A4,33000,,,4400.0,,
Audi TT 2.0 TFSI Pro Line S,,8,Petrol,Automatic,Coupe,TT,105007,2.0,,12353.764705882353,,
Audi Q3 1.4 TFSI 150 pk Automaat CoD Advance Panoramadak Navigatie Xenon 18 inch LM velgen,,1,Petrol,Automatic,SUV,Q3,12500,1.4,150.0,8333.333333333334,107.14285714285715,
"Audi A3 Cabriolet 1.4 Tfsi 150pk CoD S-Line Open Days S-Tronic | Navigatie | P-Sensoren |  19"" Velgen | Xenon | Lederen Bekleding | Fabrieks Garantie t/m 08-06-2020 of 100.000km",,3,Petrol,Automatic,Cabriolet,A3,45000,1.4,150.0,12857.142857142857,107.14285714285715,
"Audi RS6 4.0 TFSI QUATTRO CAMERA, HEAD-UP!",,2,Petrol,Automatic,Station wagon,RS6,14651,4.0,,5860.4,,
Audi Cabriolet A5 1.8 TFSI Pro Line S Open Days Aut. [ 2xS-Line MMI Plus B&O ],,4,Petrol,Automatic,Cabriolet, A5,66325,1.8,,14738.888888888889,,
