index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,predicted_price
7289,Audi A8 Pro Line Plus 3.0 TDI 184kw/250pk quattro Tiptronic 8,,9,Diesel,Automatic,Sedan,A8,116451,32917.76666666667
7290,Audi A1 Sportback 1.0 TFSI Aut. Adrenalin,,3,Petrol,Automatic,Hatchback,A1,15478,22060.15
7291,Audi A3 Limousine 1.6 TDI ATTR. PRO LINE Navi Airco Cruise,,5,Diesel,Manual,Sedan,A3,179278,15526.0
7292,Audi Q2 1.0 TFSI #LIMITED 85 kW / 116 pk S-Tronic,,1,Petrol,Automatic,SUV,Q2,15500,42194.9
7293,Audi A4 1.8 TFSI Pro Line Business super nette auto van de 1e eigenaar en volledig garage onderhouden!,,11,Petrol,Automatic,Sedan,A4,91230,16565.866666666665
7294,Audi TT 2.0 Tfsi 230pk Quattro Pro Line S | Navigatie | Virtual Cockpit | B&O Sound | Led Koplampen | | Fabrieks Garantie t/m 01-04-2019 of 100.000km,,4,Petrol,Automatic,Coupe,TT,76853,39178.86666666667
7295,Audi A3 Sportback 1.0 TFSI Lease Edition 116 pk (vsb 19215) voorraaddeal,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7296,Audi A5 2.0 TFSi S.B. Quattro 211pk ECC NAV LEDER B&O XENON 18'',,10,Petrol,Automatic,Hatchback,A5,100609,20151.05
7297,Audi A3 1.6 16V Ambition S-line CLIMA YOUNGTIMER ZWART,,16,Petrol,Manual,Hatchback,A3,132579,5941.333333333333
7298,Audi A3 Sportback 30 TFSI 116pk PRO LINE * AIRCO * NAVIGATIE * CRUISE CONTROL * VSB8138,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7299,Audi Q5 2.0 TFSI QUATTRO AUT. NAVI / XENON / LEDER,,8,Petrol,Automatic,SUV,Q5,141840,25383.816666666666
7300,Audi A4 Audi A4 Avant 2.0 TDI Pro Line Business,,5,Diesel,Manual,Station wagon,A4,142669,18187.433333333334
7301,Audi A3 Sportback 30 TFSI Sport S Line Edition 85 kW / 116 pk,,0,Petrol,Automatic,Hatchback,A3,0,41158.563701828025
7302,Audi A4 LIMOUSINE 1.8 TFSI 170 PK BUSINESS EDITION / NAVI / XENON / 17'',,6,Petrol,Manual,Sedan,A4,97029,19484.55
7303,Audi A4 Avant 1.4 TFSI Design Pro Line Automaat | Navigatie | Electrische achterklep | Cruise & Climate Control,,3,Petrol,Automatic,Station wagon,A4,49502,36133.666666666664
7304,Audi A1 Sportback 1.0 TFSI Sport Pro Line,,4,Petrol,Automatic,Hatchback,A1,24379,20981.233333333334
7305,Audi A3 1.6 SPORTBACK 85KW Ambiente,,13,Petrol,Manual,Hatchback,A3,195116,6133.7
7306,"Audi A4 Avant 1.8 TFSI BUSINESS EDITION Navigatie Clima MMi PDC Xenon 17"" LM 170Pk! Zondag a.s. open!",,5,Petrol,Manual,Station wagon,A4,94817,21576.933333333334
7307,"Audi A7 Sportback 3.0 TFSI QUATTRO PRO LINE PLUS (occasion) 300 PK , Leder,Navi, Parkeerhulp camera",,8,Petrol,Automatic,Hatchback,A7,109064,29595.566666666666
7308,"Audi A3 Limousine 1.5 TFSI SPORT S LINE , B&O Sound, 18 Inch, Prive Glas, Parkeersensoren, LED",,2,Petrol,Automatic,Sedan,A3,14523,31467.15
7309,Audi A3 Sportback 2.0 FSI Ambiente 135dkm NAP / 2e EIG / FULL SERVICE ! !,,12,Petrol,Manual,Hatchback,A3,136448,7415.216666666666
7310,"Audi A3 Limousine 1.6 TDI Ambition Pro Line, Navigatie",,4,Diesel,Manual,Sedan,A3,58796,24018.933333333334
7311,"Audi Q3 1.4 TFSI AUT! Pro Line, XENON, STOELV., AFN. TREKHAAK",,5,Petrol,Automatic,SUV,Q3,75375,29738.166666666668
7312,Audi S6 Avant 4.0 V8 TFSI 421pk Quattro Pro Line Plus /NAVI/Schaalstoelen/PDC/Panoramadak/BI-LED verlichting/20'LM!,,5,Petrol,Automatic,Station wagon,S6,171317,35047.833333333336
7313,Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7314,Audi A6 3.0 TDI BiT 313PK/S-Line/Quattro/Volleer/Memory,,7,Diesel,Automatic,Station wagon,A6,122072,28938.35
7315,Audi A3 Sportback 30 TFSI 116pk S Line Edition + LED Koplampen + Getint glas,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7316,Audi A4 1.8 TFSI Pro Line Business Navi Climate Control 200x Vw-Audi-Seat-Skoda,,11,Petrol,Manual,Sedan,A4,206291,8770.416666666666
7317,Audi A1 1.2 TFSI 63KW PROLINE 3DRS,,8,Petrol,Manual,Hatchback,A1,97585,11465.116666666667
7318,Audi A5 Cabriolet 2.0 190 PK TFSI MHEV S LINE EDITION Virtual Cockpit | Hoofdruimte verwarming| WLTP VOORDEEL !! *NIEUW* (522199),,1,Petrol,Automatic,Cabriolet,A5,0,74484.8628577755
7319,Audi A6 3.0 TDI Bi Turbo quattro Sport Edition 313PK,,5,Diesel,Automatic,Sedan,A6,99216,33980.25
7320,Audi A6 Allroad 3.0 TFSI 290pk quattro tiptronic ProLine,,11,Petrol,Automatic,Station wagon,A6,119245,17372.066666666666
7321,Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7322,Audi A1 Sportback 1.0 TFSI Adrenalin S-Line Exterieur Automaat Dealer Onderhouden! Navi Cruise Control ECC LMV PDC,,3,Petrol,Automatic,Hatchback,A1,94807,22331.433333333334
7323,Audi A3 Sportback 1.0 TFSI 115pk Sport Automaat Climate control Cruise control LED,,1,Petrol,Automatic,Hatchback,A3,24401,35477.8
7324,Audi A6 2.0 TDI Pro Line Avant Automaat,,6,Diesel,Automatic,Station wagon,A6,110982,32471.383333333335
7325,Audi A1 Sportback 1.0 TFSI 95PK,,1,Petrol,Manual,Hatchback,A1,17130,23152.883333333335
7326,Audi A1 Sportback 1.0 TFSI Advance Sport,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7327,Audi A6 Avant 326PK BiTD Comp. Luchtv.|Pano|20'',,2,Diesel,Automatic,Station wagon,A6,9614,48086.69027777777
7328,Audi A4 2.0 TDI AUTOMAAT BUSINESS! BTW AUTO,,6,Diesel,Automatic,Sedan,A4,73095,27619.683333333334
7329,Audi A1 Sportback 1.0 TFSI 95pk Adrenalin Navigatie Cruise,,2,Petrol,Manual,Hatchback,A1,21374,20159.016666666666
7330,Audi Q5 3.0 TDI QUATTRO S LINE INTER. EXTER.,,6,Diesel,Automatic,SUV,Q5,111094,32829.416666666664
7331,Audi Q7 3.0 TDI 272PK Tiptronic Quattro (Navigatie/Xenon/Lederen bekleding),,2,Diesel,Automatic,SUV,Q7,29001,83269.08333333333
7332,Audi A6 2.0 TDI 177PK AUT. BUSINESS EDITION   LEDER   SPORTSTOELEN   PDC,,6,Diesel,Automatic,Station wagon,A6,167387,28446.7
7333,"Audi A4 | Binnenkort binnen | 40 TFSI Sport S line Edition | MMi navigatie | 18 "" | Bluetooth | Sportstoelen | Climate control | Cruise control | Sportstuur |",,1,Petrol,Automatic,Sedan,A4,0,50582.90664290482
7334,Audi Q2 1.4 TFSI CoD 150pk S tronic Sport,,0,Petrol,Automatic,Hatchback,Q2,0,44908.90213300592
7335,Audi A5 Sportback 2.0 TFSI MHEV Sport S-line Edition 190 pk S tronic (vsb 20629),,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7336,Audi A4 Avant 1.4 TFSI S line Edition,,1,Petrol,Automatic,Station wagon,A4,25280,44257.083333333336
7337,Audi A3 Sportback 1.6 TDI Sport S Line Edition 85 kW / 116 pk,,1,Diesel,Automatic,Hatchback,A3,0,42471.70445949135
7338,"Audi S3 Sportback 2.0 TFSI S3 quattro Pro Line Plus ,B&O, Aut.!",,6,Petrol,Automatic,Hatchback,S3,68990,38995.183333333334
7339,"Audi A5 Coupé 1.8 TFSI Pro Line Business I Navigatie I 19"" Sport velgen I Dealer onderhouden",,8,Petrol,Manual,Coupe,A5,161104,14925.1
7340,Audi RS6 605pk -Akrapovic/NL-auto/Dynamic/280vmax-,,2,Petrol,Automatic,Station wagon,RS6,19900,150618.81666666668
7341,"Audi Q5 2.0 Tfsi 252pk S-tronic Quattro S-line €14.000,= KORTING Navigatie Plus, Xenon, PDC voor en achter enz",,1,Petrol,Automatic,SUV,Q5,0,81341.5328091149
7342,Audi A4 2.0 Pro Line Business,,14,Petrol,Manual,Sedan,A4,245000,5576.166666666667
7343,Audi A5 Sportback 1.8 TFSI PRO LINE LED/Xenon | Navi | Clima | Cruise | Radio/Cd | LMV | PDC,,8,Petrol,Manual,Hatchback,A5,132644,16391.216666666667
7344,Audi A1 Sportback 1.0 TFSI 95PK Adrenalin (S-Line exterieur) / Dak en spiegels in contrastkleur / S-Line pakket exterieur / 17 inch LM velgen / Navigatie MMI / Bluetooth telefoon / Audio streaming,,3,Petrol,Manual,Hatchback,A1,62854,17700.733333333334
7345,"Audi A1 Sportback 1.0TFSI/95pk Advance Sport · S-Line · Bi-xenon · 17""LM velgen",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7346,Audi A6 Allroad 3.0 TDI Pro Line Navi/Xenon/leder-alcantara -64.834km! -,,13,Diesel,Manual,SUV,A6,64834,13059.233333333334
7347,Audi A4 Avant 40 TFSI Sport S line edition 140 kW / 190 pk,,1,Petrol,Automatic,Station wagon,A4,0,55269.9491053244
7348,Audi RS6 Avant 4.0 TFSI 605PK tiptronic quattro performance Pro Line Plus | Matrix LED koplampen | Panoramadak | Head-up Display | Alcantara hemel | Keramische remmen | Rondomzicht camera | Verlengde garantie t/m 3-1-2021 of 150.000 km | Elektrische stoelverstelling | Valcona/alcantara | 21 inch lichtmetalen velgen | Keyless En,,2,Petrol,Automatic,Station wagon,RS6,43821,130780.13333333333
7349,Audi A1 Sportback 1.0 Tfsi 95pk Adrenalin | Navigatie | Airco | BlueTooth | Lm Velgen | Fabrieks Garantie t/m 10-10-2021 of 100.000km,,2,Petrol,Manual,Hatchback,A1,20505,20848.65
7350,Audi A6 3.0tdi pro line business quattro tiptronic aut,,15,Diesel,Automatic,Sedan,A6,300709,2853.2166666666667
7351,Audi A3 1.6 ATTRACTION LEDER-XENON-LMV-CRUISE CONTROL,,14,Petrol,Manual,Hatchback,A3,137302,6374.383333333333
7352,Audi A4 Avant 2.0,,16,Petrol,Manual,Station wagon,A4,338792,2925.1
7353,"Audi A6 Avant 3.0 TDI QUATTRO 2 maal S Line Nieuwprijs 115.000,- Euro",,2,Diesel,Automatic,Station wagon,A6,1010,63781.020376641034
7354,Audi A4 Avant 1.8 Tfsi 125kW Multitronic S-Line Edition Xenon/Led/Pdc/Bt/Ecc/Crc/Lmv,,6,Petrol,Automatic,Station wagon,A4,114701,20573.816666666666
7355,Audi A3 Sportback 1.0 TFSI 116pk Pro Line MMI Navigatie / Audi Connect / Bi-xenon verlichting,,2,Petrol,Manual,Hatchback,A3,19174,28070.033333333333
7356,"Audi A1 1.4 TFSI Ambition Pro Line, cruise control, airco, nw distributieketting",,8,Petrol,Manual,Hatchback,A1,121487,11406.283333333333
7357,Audi A4 2.0 TFSI Pro Line Business,,11,Petrol,Manual,Station wagon,A4,178102,10364.616666666667
7358,Audi A3 Sportback 1.4 TFSI S-LINE XENON / HALF LEER / NAVIGATIE /,,9,Petrol,Manual,Hatchback,A3,184697,10665.1
7359,Audi A6 Avant 2.4 V6 Aut. PRO LINE Navi-Clima-Privacy glass,,14,Petrol,Automatic,Station wagon,A6,188604,8380.966666666667
7360,Audi A4 AVANT 1.8 TFSI 170 PK BUSINESS EDITION / NAVIGATIE / XENON / 17',,4,Petrol,Manual,Station wagon,A4,89695,23882.066666666666
7361,Audi A4 3.2 FSI PRO LINE,,10,Petrol,Automatic,Sedan,A4,191168,14992.15
7362,"Audi A6 1.8 TFSI 190pk Advance Sport S-Tronic, uw voordeel is € 3.130,-",,1,Petrol,Automatic,Sedan,A6,0,54761.86549701322
7363,"Audi A6 Avant 1.8 TFSI 190pk ULTRA S LINE EDITION ""Zwart optiek"" Automaat S-Line interieur & exterieur pakket / MMI Navigatie plus",,1,Petrol,Automatic,Station wagon,A6,9000,85247.84499999999
7364,Audi A3 Sportback 1.6 TDI Adrenalin Sport | S-Line | Xenon | Navigatie |,,3,Diesel,Manual,Hatchback,A3,127723,20636.8
7365,Audi A3 Sportback 1.2 TFSI 5drs | Clima | Cruise | Stoelverwarming | PDC,,3,Petrol,Manual,Hatchback,A3,52669,24603.5
7366,Audi A1 sportback 1.2 tsi 140 PK Admired navi,,5,Petrol,Manual,Hatchback,A1,44500,23205.516666666666
7367,Audi SQ7 4.0 TDI Quattro Pro Line + 7-zits,,1,Diesel,Automatic,SUV,SQ7,0,164425.39522820638
7368,Audi A1 Sportback 30 TFSI 116pk EPIC | Virtual Cockpit | Contrastpakket 2 - Zwart | NIEUW MODEL | *NIEUW* (558622),,1,Petrol,Automatic,Hatchback,A1,0,36493.52751894957
7369,Audi A3 Sportback 1.2 TFSI S EDITION AUT.,,6,Petrol,Automatic,Hatchback,A3,99987,22171.8
7370,Audi A1 Sportback 30TFSI/116pk Epic · Virtual cockpit · Airconditioning volautomatisch · Connected services,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7371,Audi A6 2.0 TFSI Business Edition AUTOMAAT/NAVI/LEDER,,10,Petrol,Automatic,Sedan,A6,159002,15175.8
7372,Audi A4 Avant 1.8 TFSI Pro Line Business | ECC | Navi | Leder | Afneembare trekhaak,,11,Petrol,Manual,Station wagon,A4,237403,8571.616666666667
7373,Audi A3 Sportback 1.0 TFSI 6-bak Lease Edition,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7374,Audi A3 Sportback 1.0 TFSI 6-bak S-Line Edition,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7375,Audi A1 1.2 TFSI Connect / NAVI / 3 DEURS,,8,Petrol,Manual,Hatchback,A1,204520,10462.933333333332
7376,Audi A3 1.4tfsi cod pro line plus s-tronic xenon led,,6,Petrol,Automatic,Sedan,A3,89999,21905.783333333333
7377,Audi Q5 2.0 TFSI HYBRID QUATTRO AUT. [ Navi Xenon Leder ],,7,Petrol,Automatic,SUV,Q5,123423,28666.816666666666
7378,Audi A3 Sportback 1.4 TFSI Ambition Pro Line plus *Navigatie | Drive Select | Cruise control | Comfortstoelen* NL-auto | BTW!!,,6,Petrol,Automatic,Hatchback,A3,71694,24429.35
7379,Audi A3 Sportback 1.4 TFSI 150 PK AMBITION + Chroom + Stoelverwarming +,,4,Petrol,Manual,Hatchback,A3,54431,21047.716666666667
7380,Audi A4 1.4 TFSI SPORT S LINE EDITION | Akoestisch glas | Zonwering achter-/zijruiten Fabrieks Garantie t/m 03-04-2022 of 100.000km,,1,Petrol,Automatic,Station wagon,A4,10334,54174.45
7381,Audi A6 2.0 TFSI Business Ed.   Navi   Cruise   Automaat,,9,Petrol,Automatic,Sedan,A6,149447,13479.933333333332
7382,Audi A1 1.4 TFSI Ambition Pro Line | NAVI | MP3 | TOPSTAAT,,8,Petrol,Manual,Hatchback,A1,97800,11470.983333333334
7383,Audi A3 Sportback 2.0 TDI AMBIENTE Automaat ClimateControl CruiseControl,,7,Diesel,Automatic,Hatchback,A3,165541,16655.333333333332
7384,Audi A3 SPORTBACK 1.4 TFSI PROLINE+ XENON LEDER NAVI CLIMA CRUISE LICHTMETAAL,,6,Petrol,Manual,Hatchback,A3,159010,16343.8
7385,Audi RS5 Coupe 4.2 FSi 450pk Quattro S-Tronic | RS Sportuitlaat | B&O Sound |,,6,Petrol,Automatic,Coupe,RS5,72362,56820.38333333333
7386,Audi A3 Limousine 1.0 TFSI SPORT Automaat * Panoramadak * Navi * Led / Xenon *,,2,Petrol,Automatic,Sedan,A3,48981,31744.563888888886
7387,"Audi Q5 2.0 TDI 190pk S-tronic Quattro Design Pro Line + € 4.000,- INRUILPREMIE!!",,1,Diesel,Automatic,SUV,Q5,0,85639.25866777945
7388,Audi A6 Avant 2.0 TDI 136pk Automaat S-line Climate Control Leder Navigatie S,,5,Diesel,Automatic,Station wagon,A6,109470,32185.816666666666
7389,"Audi A1 Sportback 95pk S-tromic Active | 18"" | NW PRIJS € 28.570,-!",,1,Petrol,Automatic,Hatchback,A1,50,32643.63216116568
7390,Audi A6 2.0 TFSI 180PK Automaat PRO LINE S 100% DEALERONDERHOUDEN,,6,Petrol,Automatic,Sedan,A6,111410,25719.683333333334
7391,Audi A8 3.0 TDI QUATTRO LANG Matrix Bose Adapt. cruise Matrix Bose Adapt. cruise Schuifdak 259PK! Zondag a.s. open!,,4,Diesel,Automatic,Sedan,A8,47365,70113.0
7392,"Audi A3 Sportback 1.0 Tfsi 116pk S Line Edition, Mmi navigatie, Telefoon, Parkeersensoren",,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7393,Audi A3 Sportback 30 TFSI Lease Edition 85 kW / 116 pk,,0,Petrol,Manual,Hatchback,A3,0,35902.65001001208
7394,Audi A1 1.4TFSi AMBITION AUT NAVI,,6,Petrol,Automatic,Hatchback,A1,114008,16718.466666666667
7395,Audi TT Roadster 2.0 TFSI PRO LINE S S-LINE NW STAAT,,8,Petrol,Manual,Cabriolet,TT,105405,20403.233333333334
7396,Audi A4 2.0 TDI Aut. Avant 177PK S-line [ xenon navi ],,5,Diesel,Automatic,Station wagon,A4,144236,19946.533333333333
7397,Audi A6 3.0 TDI 272PK tiptronic Quattro Premium Edition | Matrix LED | Wegklapbare trekhaak | Valcona leder | Rondomzicht camera | Luchtvering | Elektrische stoelverstelling | Verlengde fabrieksgarantie t/m 19-3-2020 of 100.000 km | Navigatie MMI+ | Bose sound | 20 inch lichtmetalen velgen | Stoelverwarming/-v,,4,Diesel,Automatic,Sedan,A6,63146,32140.7
7398,Audi A3 Sportback 1.6 TDI PRO LINE | NAVIGATIE | LEER | XENON | 17 INCH | ALL-IN!!,,7,Diesel,Manual,Hatchback,A3,129978,11880.4
7399,Audi A1 1.2 TFSI PRO LINE S-Line ECC Xenon Navi Cruise Control Sportstoelen 18 Inch,,6,Petrol,Manual,Hatchback,A1,57151,15282.466666666667
7400,Audi A5 Sportback 35 TFSI Sport S-line Edition 110 kW / 150 pk,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7401,Audi Q2 1.0 TFSI Limited Edition S-Tronic Navigatie LED Schuifdak [Elke Zondag Open],,1,Petrol,Automatic,SUV,Q2,7500,42744.96666666667
7402,Audi A6 2.0TFSi Aut. ProLine Plus (Leder/Xenon),,7,Petrol,Automatic,Sedan,A6,97051,24879.55
7403,Audi A3 1.2 TFSI Sportback Automaat S-TRONIC,,7,Petrol,Automatic,Hatchback,A3,172575,14722.266666666666
7404,Audi A3 Sportback 1.0 TFSI Lease Edition,,2,Petrol,Manual,Hatchback,A3,22600,26315.083333333332
7405,"Audi A4 Avant 1.4 TFSI Sport 150pk S-Tronic Proline, (Autom.airco,S-line ext.,MMI Navigatie, Choompakket,Spiegels inklapb.,Pdc,)",,1,Petrol,Automatic,Station wagon,A4,9900,51139.78333333333
7406,Audi A6 2.7 TDI QUATTRO PRO L MMI NAVI LEER XENON SPORTSTOELEN ENZ,,10,Diesel,Automatic,SUV,A6,134914,19878.283333333333
7407,Audi A3 1.2 TFSI Amb. Pro Line Plus S-Tronic Automaat*Navi/Sportstoelen/Bi-Xenon/LED*,,4,Petrol,Automatic,Hatchback,A3,66038,24704.733333333334
7408,Audi Q5 2.0 TFSI Quattro Pro Line Automaat Navi Xenon Leder ECC LMV PDC LED Dealer Onderhouden! 94dKM!!,,8,Petrol,Automatic,SUV,Q5,93745,24838.1
7409,Audi A4 Avant 1.4 TFSI Pro Line,,2,Petrol,Manual,Station wagon,A4,32409,34510.933333333334
7410,"Audi A1 Sportback 1.0 TFSi 95 pk Pro Line / navi / 15""",,3,Petrol,Manual,Hatchback,A1,70377,17667.383333333335
7411,Audi A3 Sportback 3.2 V6 250 PK QUATTRO AUT. + LEDER / BOSE / NAVIGATIE / XENON,,13,Petrol,Automatic,Hatchback,A3,196580,7139.433333333333
7412,Audi A6 Avant New 40 TDI 204pk S tronic Launch Edition Sport,,0,Diesel,Automatic,Station wagon,A6,0,76821.65260808324
7413,Audi A4 Avant 2.0 TDI PRO LINE Navi / Cruise Control / Drive Select / LMV 17'' !!! FABRIEKSGARANTIE t/m 14-05-2019 !!!,,2,Diesel,Manual,Station wagon,A4,6939,33736.30099266474
7414,"Audi A1 Sportback 1.0 TFSI 95pk Adrenalin S-Line + MMI Navigatie + 17"" LMV",,3,Petrol,Manual,Hatchback,A1,31243,19273.45
7415,Audi A3 Sportback 1.5 TFSI 150pk CoD ultra S tronic S Line Edition,,0,Petrol,Automatic,Hatchback,A3,0,41158.563701828025
7416,Audi A6 Avant 2.0 A/T 170PK NAVI/XENON/PDC!,,8,Petrol,Automatic,Station wagon,A6,148321,16155.566666666668
7417,Audi A6 Avant 40 TDI Launch edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,80452.53669673459
7418,Audi A4 AVANT 2.0 TDI 190 pk QUATTRO S-Line S-Tronic Aut. [ virtual cockpit standkachel ],,3,Diesel,Automatic,Station wagon,A4,83107,41994.316666666666
7419,"Audi A1 1.4 TFSI S-Line Aut. 122PK, Bose, Leder, Navi, Xenon",,7,Petrol,Automatic,Hatchback,A1,57170,19516.733333333334
7420,Audi Q5 2.0 TFSI QUATTRO PRO LINE Xenon/PDC/Navigatie/Climate.,,10,Petrol,Automatic,SUV,Q5,162403,20187.066666666666
7421,Audi A3 Sportback 1.4 TFSI AMBITION PRO LINE NAVI-ECC-LMV-DAKRAIL-CRUISE CONTROL,,10,Petrol,Manual,Hatchback,A3,188663,9107.366666666667
7422,Audi TT 1.8 5V Turbo BUDGET OCCASION,,14,Petrol,Manual,Coupe,TT,127375,13029.866666666667
7423,Audi A3 1.2 TFSI 81KW SPORTBACK Attraction proline,,4,Petrol,Manual,Hatchback,A3,25485,26066.616666666665
7424,Audi A6 3.0 TDI 204PK S-Tronic Sport Edition | S-line in-/exterieur | Navigatie | Xenon | Parkeersensoren | Climatronic | 19 inch lichtmetalen velgen | Audi drive select | Alarm | Cruise control | Regen-/lichtsensor | Trekhaak voorbereiding | Keyless go | Leder/stof bekleding,,5,Diesel,Automatic,Sedan,A6,59678,40013.566666666666
7425,Audi A4 Avant 4.2 FSI RS4 33.000km B&O soundsysteem ACC Carbon Keyless Go Panoramadak,,7,Petrol,Automatic,Station wagon,A4,33000,23332.783333333333
7426,Audi TT 2.0 TFSI Pro Line S,,8,Petrol,Automatic,Coupe,TT,105007,28486.3
7427,Audi Q3 1.4 TFSI 150 pk Automaat CoD Advance Panoramadak Navigatie Xenon 18 inch LM velgen,,1,Petrol,Automatic,SUV,Q3,12500,43264.88043650794
7428,"Audi A3 Cabriolet 1.4 Tfsi 150pk CoD S-Line Open Days S-Tronic | Navigatie | P-Sensoren |  19"" Velgen | Xenon | Lederen Bekleding | Fabrieks Garantie t/m 08-06-2020 of 100.000km",,3,Petrol,Automatic,Cabriolet,A3,45000,40606.75
7429,"Audi RS6 4.0 TFSI QUATTRO CAMERA, HEAD-UP!",,2,Petrol,Automatic,Station wagon,RS6,14651,154473.38333333333
7430,Audi Cabriolet A5 1.8 TFSI Pro Line S Open Days Aut. [ 2xS-Line MMI Plus B&O ],,4,Petrol,Automatic,Cabriolet, A5,66325,39995.7
7431,Audi Q3 1.4 TFSI CoD Advance Sport S tronic 150 pk,,1,Petrol,Automatic,SUV,Q3,0,49576.28797111235
7432,"Audi A5 1.8 TFSI S-line, B&O, Distronic, aut/Nav",,3,Petrol,Automatic,Coupe,A5,41333,38331.11944444444
7433,Audi A4 2.5 TDI Exclusive,,16,Diesel,Manual,Sedan,A4,345561,2281.6666666666665
7434,Audi A4 Avant 1.8 Tfsi 125kW Multitronic Business Edition Xenon/Led/Pdc/Bt/Ecc/Crc/Lmv,,5,Petrol,Automatic,Station wagon,A4,130915,22348.6
7435,Audi A3 Sportback 1.0 TFSI SPORT LEASE EDITION,,2,Petrol,Manual,Hatchback,A3,26066,28781.25
7436,Audi A5 Sportback 1.8 TFSI 177pk multitronic Sport Edition 6 maanden garantie en uitgebreide afleverbeurt,,3,Petrol,Automatic,Hatchback,A5,39056,36754.9
7437,"Audi A4 Avant 2.0 TFSI Sport S-tronic , Bi-Xenon, Leder/alcantara bekleding, Virtual cockpit,",,1,Petrol,Automatic,Station wagon,A4,14028,40749.75
7438,Audi A6 Avant 3.0 TDI 204PK Aut PRO LINE Orig.NL Nav Cli Cru,,7,Diesel,Automatic,Station wagon,A6,204683,23729.633333333335
7439,Audi Q5 2.0 TFSI quattro S-tronic S-Line Edition,,1,Petrol,Automatic,SUV,Q5,0,81341.5328091149
7440,Audi A6 Allroad 2.7 TDI Pro Line | FULL OPTION | | Luchtvering | Schuif-/ kanteldak |,,10,Diesel,Automatic,SUV,A6,232500,16644.603333333333
7441,Audi A3 SPORTBACK 1.6 TDI [ panoramadak alcantara xenon navi ],,6,Diesel,Manual,Hatchback,A3,136825,14207.2
7442,"Audi A4 Limousine 1.4 TFSI 150PK Automaat Lease Edition / Navi / Clima / Cruise Control / LED koplampen / Lederen stuur / 17"" Velgen",,1,Petrol,Automatic,Sedan,A4,0,50582.90664290482
7443,Audi A3 LIMOUSINE 1.5 TFSI 150PK S-TRONIC / S-LINE / OPTIEK ZWART / 18'',,1,Petrol,Automatic,Sedan,A3,10750,35692.95
7444,"Audi A8 50 TDI 286PK Automaat Quattro Pro Line Plus / Panorama dak / Stoelventilatie + Massage voor / Clima 4-zone / Bang & Olufsen / Rear Seat Remote / 20"" Velgen",,1,Diesel,Automatic,Sedan,A8,0,148333.5865700929
7445,"Audi A3 Sportback 1.0 Tfsi 116pk S-Line Edition Navigatie, Parkeersensoren",,2,Petrol,Manual,Hatchback,A3,24261,25856.283333333333
7446,Audi Q2 1.4 TFSI 150 PK COD DESIGN MMI NAVIGATIE|PARKEERHULP VOOR & ACHTER|ELEK. ACHTERKLEP|AUDI SOUNDSYSTEM,,2,Petrol,Manual,SUV,Q2,25944,30784.833333333332
7447,"Audi A4 Avant 1.9 TDI Advance (Airco,LM-velgen,Dakrail,Trekhaak,Hout Inleg,MET GARANTIE*).",,20,Diesel,Manual,Station wagon,A4,387967,1711.6333333333334
7448,Audi A6 Avant 2.0 TFSI BUSINESS EDITION Leer/Navigatie/Ecc/Afnb-Trekhaak/alu wielen,,8,Petrol,Automatic,Station wagon,A6,178080,17501.766666666666
7449,Audi A3 Sportback 1.5 TFSI COD SPORT S LINE EDITION 18 Inch LM velgen / Parkeersensoren,,1,Petrol,Manual,Hatchback,A3,25099,28794.005555555555
7450,Audi A4 Avant S line edition 35 TFSI S tronic 150 pk,,0,Petrol,Automatic,Station wagon,A4,0,55734.53315093718
7451,"Audi A1 Sportback 30 TFSI 116 PK S Line edition one | Virtual Cockpit | Clima | PDC Plus | Witte 18""LMV | *NIEUW* ( 558617)",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7452,"Audi A6 50TDI286pk quattro Design · Head-up display · HD Matrix LED koplampen · 19""LM velgen",,1,Diesel,Automatic,Sedan,A6,0,91145.41250656873
7453,Audi Q3 (35) TFSI 150PK Aut. NIEUW MODEL Pro Line |PDC+|Virtual,,1,Petrol,Automatic,SUV,Q3,0,49576.28797111235
7454,"Audi A1 Sportback 1.0 TFSI 96 PK ADRENALIN S-line exterieur, Navigatie, Airco, Cruise control, Dealer onderhouden, BTW verrekenbaar",,2,Petrol,Manual,Hatchback,A1,28766,21350.783333333333
