index,car description,price (euro),age (year),fuel type,transmission,bodystyle,car model,mileage (km)
1891,"Audi A3 Limousine 1.4 Tfsi 150pk S-tronic CoD Ambition Pro Line, Trekhaak, Parkeersensoren, Mmi navigatie",26200.0,4,Petrol,Automatic,Sedan,A3,71380
1892,Audi A3 1.4 TFSI 150pk Ultra Limousine Pro Line,27250.0,2,Petrol,Manual,Sedan,A3,39108
1893,Audi Q5 2.0 TDI 190pk QUATTRO PRO LINE PLUS Automaat,37750.0,5,Diesel,Automatic,SUV,Q5,142890
1894,Audi A4 Allroad Quattro 2.0 TFSI 252pk S tronic Drive-Select / Full-LED / Panodak / Virtual cockpit,68150.0,1,Petrol,Automatic,Station wagon,A4,17068
1895,Audi A5 2.0 TFSI 225PK Q SPORT EDITION S,42000.0,4,Petrol,Automatic,Cabriolet,A5,62862
1896,Audi A3 Limousine 1.4 TFSI COD AMBIENTE PRO LINE PLUS,20500.0,5,Petrol,Manual,Sedan,A3,123458
1897,Audi A3 Sportback 1.4 TFSI CoD Adrenalin Sport S tronic Led,36650.0,2,Petrol,Automatic,Hatchback,A3,8226
1898,Audi A4 2.0 TFSI AVANT 147KW S-LINE,10450.0,14,Petrol,Manual,Station wagon,A4,189089
1899,Audi R8 Spyder 5.2 V10 FSI GT,147700.0,7,Petrol,Automatic,Cabriolet,R8,6215
1900,Audi Q3 1.4 TFSI Pro Line Automaat // S-tronic / Camera / Navi / Sportstoelen,29100.0,5,Petrol,Automatic,SUV,Q3,64020
1901,Audi A8 2.8 tiptronic automaat leder goed onderhouden,3400.0,21,Petrol,Automatic,Sedan,A8,321902
1902,Audi A4 Audi A4 Avant 1.8 TFSI Pro Line Business,14200.0,6,Petrol,Manual,Station wagon,A4,184018
1903,Audi A3 Limousine 1.6 TDI 110pk H6 AMBIENTE Pro Line Plus Xenon Ecc Pdc Trekhaak Leer Navigatie,20950.0,4,Diesel,Manual,Sedan,A3,90391
1904,Audi S8 4.0 V8 TFSI 520pk Tiptronic Quattro + Keramische Remmen,76600.0,4,Petrol,Automatic,Sedan,S8,46203
1905,Audi A4 1.8 TFSI 120pk Pro Line - Navigatie,9400.0,9,Petrol,Manual,Sedan,A4,178280
1906,Audi A4 Avant 1.8 TFSI Pro Line Business Navi 6-Bak (bj 2011) Cruise control,14650.0,8,Petrol,Manual,Station wagon,A4,97505
1907,Audi A4 Avant 1.8 TFSI S LINE NAVI/PANODAK/TREKHAAK/ECC/PDC//XENON,17800.0,8,Petrol,Automatic,Station wagon,A4,148084
1908,Audi A6 Limousine 40 TDI 204pk Launch edition Sport,74450.0,1,Diesel,Automatic,Sedan,A6,0
1909,Audi A4 Avant 1.9 TDI Business,4150.0,13,Diesel,Manual,Station wagon,A4,369168
1910,Audi A7 Sportback 3.0 Tfsi 310pk Quattro Pro Line S | Lucht vering | Servo | Bose Sound | Corner View | Head Up | Dubbel Glas | Comfortsleutel | Standkachel |,39350.0,6,Petrol,Automatic,Hatchback,A7,105636
1911,Audi A4 1.8 TFSI Pro Line | XENON | CLIMA | 18 INCH |,10500.0,11,Petrol,Manual,Sedan,A4,136661
1912,Audi A3 (J) SPORTBACK 1.6 TDI Pro Line Aut. [ xenon navi adapt.cruise ],17600.0,4,Diesel,Automatic,Hatchback,A3,141388
1913,"Audi A3 Sportback 1.0 TFSI 116pk PRO LINE | Adaptive cruise control, Xenon, Virtual cockpit, Navigatie MMI plus, PDC, Clima etc.",24550.0,2,Petrol,Manual,Hatchback,A3,22103
1914,Audi A8 4.0 TFSI S8 Quattro -Design Selection Balaobruin-,72200.0,5,Petrol,Automatic,Sedan,A8,94381
1915,Audi A3 Limousine 1.0 TFSI 116PK Sport S Line Edition | S-Line interieur/exterieur | Navigatie | LED | Cruise Control | Climatronic | 18 inch lichtmetalen velgen | Privacy glas | Sportstoelen | Parkeersensoren achter | Regen-/lichtsensor | Multifunctioneel lederen sportstuur | Audi Drive Select | Voorbereidi,31950.0,1,Petrol,Manual,Sedan,A3,16451
1916,Audi TT 2.0 TFSI 230pk quattro LED RS-zetels Bang-Olufsen Magnetic-Ride Leder Virtual-Cockpit Lane-Ass,38750.0,4,Petrol,Automatic,Coupe,TT,42459
1917,Audi A7 Sportback 3.0 TDI ABT 300PK S-Tronic quattro Pro Line plus,26200.0,8,Diesel,Automatic,Hatchback,A7,158400
1918,"Audi S5 Sportback 3.0 TFSI 354pk Quattro ( Virtual Cockpit , Keyless , Drive Select )",66150.0,2,Petrol,Automatic,Hatchback,S5,9642
1919,Audi Q2 30 TFSI Sport Pro Line 85 kW / 116 pk,33550.0,1,Petrol,Manual,SUV,Q2,0
1920,Audi A3 1.6 Attraction Pro Line Business Bj '07 Automaa,6300.0,12,Petrol,Automatic,Hatchback,A3,169380
1921,Audi A5 Cabriolet 1.8 TFSI PRO LINE S-LINE **NAVIGATIE** ALS NIEUW**,29350.0,6,Petrol,Manual,Cabriolet,A5,28627
1922,"Audi A1 Sportback 1.0 TFSI 95pk Advance Sport, uw voordeel is € 2.200,-",25450.0,1,Petrol,Manual,Hatchback,A1,0
1923,Audi A1 Sportback 1.0 TFSI Adrenalin Handgeschakeld,23050.0,2,Petrol,Manual,Hatchback,A1,15000
1924,Audi Q5 2.0 TFSI 211PK Automaat Quattro Pro-Line NL-Auto  Geen Afl.kost,24100.0,9,Petrol,Automatic,SUV,Q5,105915
1925,Audi A6 Avant 204PK TDI S-Line | B&O| Pano | Matrix |360º| Servosl.,91250.0,1,Diesel,Automatic,Station wagon,A6,5000
1926,Audi A3 Sportback 30 TFSI S line edition,42850.0,1,Petrol,Automatic,Hatchback,A3,0
1927,Audi A3 1.2 TFSI Amb Adv Xenon/Navi/Pdc Incl Garantie!,13600.0,7,Petrol,Manual,Hatchback,A3,66674
1928,"Audi A4 Sedan 1.8 TFSI 170PK Pro Line Business , Sportinterieur, Xenon, Navi, ECC",19850.0,6,Petrol,Manual,Sedan,A4,96845
1929,Audi A7 3.0 TDI BIT COMPETITION NP 130K,94450.0,2,Diesel,Automatic,Sedan,A7,13845
1930,"Audi A6 3.0 TDI BiT 313PK ALLROAD, PANORAMADAK, PREMIUM EDITION, LUCHTVERING, NAVI, BOSE, QUATTRO",43950.0,6,Diesel,Automatic,Station wagon,A6,61103
1931,Audi A4 2.0 TDIe 136pk BNS EDITION NAVI CLIMA PDC,11800.0,9,Diesel,Manual,Sedan,A4,182607
1932,Audi Q3 2.0 TFSI quattro Sport Edition Navi/Trekhaak/Camera/Xenon,31450.0,5,Petrol,Automatic,SUV,Q3,37476
1933,Audi A4 Avant 1.8 TFSI AUTOMAAT 37.000KM,24100.0,6,Petrol,Automatic,Station wagon,A4,37121
1934,Audi A6 Avant 2.0 TDi AUT 03-2012 ::::: Xenon Leder NaviXXL DVD LED,21900.0,7,Diesel,Automatic,Station wagon,A6,146578
1935,Audi A5 Sportback 1.8 TFSI Pro Line S,18900.0,7,Petrol,Manual,Hatchback,A5,178543
1936,"Audi A1 Sportback 1.0 TFSI 95pk Advance, uw voordeel is € 2.195,- | Navigatie | Cruise control | Airconditioning",24400.0,1,Petrol,Manual,Hatchback,A1,0
1937,Audi A3 Sportback 1.0 TFSI 115PK Sport Lease Edition / Sportstoelen / Drive Select / Led koplampen / PDC achter / Airconditioning / Cruise control / Audio streaming / Navigatie MMI / Bluetooth telefoon,24050.0,3,Petrol,Manual,Hatchback,A3,27925
1938,Audi A3 Sportback 1.9 TDI Ambition Pro Line,7100.0,11,Diesel,Manual,Hatchback,A3,190498
1939,Audi A3 Sportback 1.0 TFSI 6-bak S-Line Edition,37450.0,1,Petrol,Manual,Hatchback,A3,0
1940,"Audi A3 Sportback 1.2 TFSI S- LINE Automaat Navi, Clima, Leer ,Sport, Cruise Control, Xenon",16750.0,6,Petrol,Automatic,Hatchback,A3,76653
1941,Audi A5 Sportback 2.0 TDI S Line Automaat,33000.0,3,Diesel,Automatic,Hatchback,A5,58841
1942,Audi A3 Cabriolet 1.5 TFSI 150 PK S-TRONIC S-LINE EDITION / LEDER / MMI PLUS / LED,60300.0,1,Petrol,Automatic,Cabriolet,A3,0
1943,"Audi Q5 2.0 TDI quattro Pro Line S Automaat, Panoramadak,Leder,Navigatie,Adaptive Cruise,Standverwarming,Trekhaak,Etc",29900.0,5,Diesel,Automatic,SUV,Q5,119868
1944,Audi TT 1.8 5V Turbo quattro,7300.0,18,Petrol,Manual,Coupe,TT,226000
1945,Audi A6 Avant 2.0 TDI ULTRA BUSINESS EDITION AUTOMAAT Bi-xenon + LED dagrijverlichting Multifunctioneel stuurwiel Cruise Controle Climate Controle Navigatie Parkeersensoren voor en achter Trekhaak LM velgen,26200.0,4,Diesel,Automatic,Station wagon,A6,140579
1946,Audi A3 Limousine 1.4 TFSI COD Adrenalin Sport,28200.0,3,Petrol,Manual,Sedan,A3,42518
1947,Audi A3 Sportback 2.0 TDI 150 PK NEW AMBIENTE PRO LINE PLUS XENON NAVIGATIE CRUISE,17600.0,6,Diesel,Manual,Hatchback,A3,132006
1948,Audi S8 4.2 QUATTRO 265KW AUT Quattro Pro Line,8350.0,16,Petrol,Automatic,Sedan,S8,216942
1949,"Audi A5 Sportback 2.0 TFSI 180PK PRO LINE S Automaat, Navi, Xenon, ECC, LMV",21950.0,8,Petrol,Automatic,Hatchback,A5,102770
1950,Audi RS6 4.0 TFSI Quattro Pro Line Plus | Nieuwe Service | Mobiliteitsgarantie | Facelift |,86600.0,4,Petrol,Automatic,Station wagon,RS6,58989
1951,Audi A4 Avant 2.0 TDIe 136pk Pro Line -NAVI-ECC-,13550.0,7,Diesel,Manual,Station wagon,A4,217915
1952,Audi A5 2.0 TDI S Edition,12300.0,6,Diesel,Automatic,Hatchback,A5,174000
1953,Audi Q5 2.0 TDI quattro Sport Edition,15600.0,5,Diesel,Automatic,SUV,Q5,149850
1954,Audi Q3 1.4 TFSI Design Pro Line Plus Xenon Trekhaak 2016!,29350.0,3,Petrol,Manual,SUV,Q3,24158
1955,Audi SQ5 3.0 TDI SQ5 QUATTRO PRO LINE PAN DAK ACC | Rijklaarprijs,38800.0,6,Diesel,Automatic,SUV,SQ5,113007
1956,Audi A3 Sportback 1.6 TDI ATTRACTION PRO LINE,15500.0,5,Diesel,Manual,Hatchback,A3,117423
1957,Audi Coupe A5 1.8 TFSI Pro Line [ navi xenon bluetooth ],14650.0,7,Petrol,Manual,Coupe, A5,199092
1958,Audi A1 Sportback 1.0 TFSI 95pk Advance,25150.0,1,Petrol,Manual,Hatchback,A1,0
1959,"Audi A5 Sportback 1.8 TFSI Sport Edition, Climate Control, Navigatie, Xenon",26150.0,4,Petrol,Manual,Hatchback,A5,92330
1960,Audi A4 1.8 TFSI / NAVIGATIE / 1e EIGENAAR,14650.0,9,Petrol,Manual,Sedan,A4,95641
1961,Audi SQ5 SQ5 3.0 TDI 313 PK QUATTRO / LEDER / PANO.DAK / 20'',46100.0,6,Diesel,Automatic,SUV,SQ5,82161
1962,Audi A3 Sportback 1.2 TFSI 105pk S-tronic Attraction Pro Line + Airco,15200.0,7,Petrol,Automatic,Hatchback,A3,86774
1963,Audi A1 Sportback 1.0 TFSI 95pk Advance Sport,26550.0,1,Petrol,Manual,Hatchback,A1,0
1964,Audi A6 Avant 2.4 MT Navi Trekhaak Youngtimer,5600.0,15,Petrol,Automatic,Station wagon,A6,200314
1965,"Audi A3 Sportback 1.6 TDI PRO LINE S-Tronic, Navi, ECC, LMV, Perfecte staat",12500.0,8,Diesel,Automatic,Hatchback,A3,210504
1966,Audi A1 1.2 TFSI Admired,15300.0,4,Petrol,Manual,Hatchback,A1,71763
1967,Audi A3 Sportback 1.6 TDI ultra Attraction Pro Line plus,14600.0,5,Diesel,Manual,Hatchback,A3,167873
1968,"Audi A3 Sportback 1.6 Tdi 110pk Pro Line Plus | Navigatie | Clima | Led Koplampen | BlueTooth | 18"" Velgen |",17850.0,4,Diesel,Manual,Hatchback,A3,125761
1969,"Audi A5 Sportback Nieuw: €57.588,- 1.4 TFSI 150PK Automaat S-Line Edition / Navi / Audi Sound / 19"" LMV / LED / Parkeerhulp Plus / Pano / Optiek pakket zwart / Bluetooth /Privacy Glass / Afgevlakt lederen stuur",49300.0,1,Petrol,Automatic,Hatchback,A5,23250
1970,Audi A4 Avant 40 TFSI Sport S line edition 140 kW / 190 pk,58450.0,1,Petrol,Automatic,Station wagon,A4,0
1971,Audi A6 2.4 V6 Automaat Pro Line Navi/Xenon/Bluetooth,9150.0,13,Petrol,Automatic,Sedan,A6,178570
1972,Audi A4 Avant 2.0 TFSI 190 S-Tronic Sport Edition | Matrix LED | Virtual cockpit | Wegkl. Trekhaak | Navigatie | Drive select |,38750.0,2,Petrol,Automatic,Station wagon,A4,18655
1973,Audi A5 Sportback 2.0 TDI Sport Virtual Cockpit Xenon Leder [Elke Zondag Open],44000.0,2,Diesel,Automatic,Hatchback,A5,25768
1974,Audi S6 Avant 5.2 FSI V10 435PK Quattro .,18850.0,13,Petrol,Automatic,Station wagon,S6,177747
1975,Audi A1 Sportback 95 Advance Sport,26200.0,1,Petrol,Manual,Hatchback,A1,500
1976,Audi A3 1.8 5V Turbo/AUTOMAAT/PDC/AIRCO/2eEIG/NAP/,3450.0,19,Petrol,Automatic,Hatchback,A3,153314
1977,Audi A3 1.9 TDI Attraction,4550.0,13,Diesel,Manual,Hatchback,A3,252939
1978,Audi A8 6.0 QUATTRO LANG,18350.0,13,Petrol,Automatic,Sedan,A8,160381
1979,Audi A1 1.2 TFSI Attraction,10350.0,8,Petrol,Manual,Hatchback,A1,83893
1980,Audi A4 Avant 2.0 TFSI S line edition 190 140 kW / 190 pk,57500.0,0,Petrol,Automatic,Station wagon,A4,0
1981,Audi A8 4.2 TDI Quattro Pro Line+ Facelift! Distronic|Navi|Keyless|Camera VOL!,15700.0,12,Diesel,Automatic,Sedan,A8,207053
1982,Audi Q2 1.4 TFSI 150pk S-Line Panoramadak,48000.0,1,Petrol,Automatic,Hatchback,Q2,7396
1983,Audi SQ7 NP 180.000,131200.0,1,Diesel,Automatic,SUV,SQ7,9695
1984,Audi A4 Avant 2.0 Pro Line,4150.0,15,Petrol,Manual,Station wagon,A4,255598
1985,Audi A6 Avant 40 TDI S-tronic Launch edition Sport,79400.0,1,Diesel,Automatic,Station wagon,A6,0
1986,Audi S3 Sportback 2.0 TFSI 310pk quattro s-tronic Pro Line plus,70300.0,1,Petrol,Automatic,Hatchback,S3,0
1987,"Audi A4 1.8 Pro Line S Xenon+Led RIJKLAAR!! clima, 1/2 zwart leder, sportinterieur, zwarte hemel, xenon+led, blanke raamlijst, full map navigatie, mf stuur, trekhaak afneembare kogel, volledig onderhouden",14600.0,8,Petrol,Manual,Sedan,A4,160189
1988,Audi RS3 2.5 295 kW / 400 pk FSI Sportback 7 versn. S-tronic quattro Nieuwprijs 104.400 euro,94400.0,2,Petrol,Automatic,Hatchback,RS3,501
1989,Audi A1 Sportback 1.0 Tfsi 95pk Adrenalin Navigatie | Airco | BlueTooth | Lm Velgen | Licht/ Regensensoren | Fabrieks garantie t/m 02-2022 of 100.000km,23100.0,1,Petrol,Manual,Hatchback,A1,23187
1990,"Audi A4 Allroad 2.0 TFSI QUATTRO PL* PANORAMA + 18"" VELGEN + NAVIGATIE *",15700.0,9,Petrol,Manual,Station wagon,A4,190278
1991,"Audi A3 Limousine 1.4 TFSI COD Ambition Pro Line Plus, Automaat, LED, Navigatie",16700.0,6,Petrol,Automatic,Sedan,A3,140619
1992,Audi Q5 2.0 tdi quattro 190PK Sport-line/Aut,57700.0,1,Diesel,Automatic,SUV,Q5,13521
1993,"Audi Q2 30 TFSI 150pkSport Pro Line, uw voordeel is € 4.395,-",41900.0,1,Petrol,Automatic,SUV,Q2,0
1994,Audi A3 1.4 TFSI ATTRACTION PRO LINE BUSINESS,12000.0,10,Petrol,Manual,Hatchback,A3,121721
1995,Audi A4 1.8 TSI Style Seat Exeo,7200.0,10,Petrol,Manual,Sedan,A4,164001
1996,Audi Q5 2.0 TFSI quattro 252pk Launch Edition,81950.0,1,Petrol,Automatic,SUV,Q5,0
1997,Audi A4 1.4 TFSI S-tronic S-Line Edition,49150.0,1,Petrol,Automatic,Sedan,A4,0
1998,Audi A3 Sportback 1.6TDi Pro Line Edition (Navi/Clima),16150.0,5,Diesel,Manual,Hatchback,A3,87599
1999,Audi S7 S7 V8T Quattro Aut. 420pk 1e eigenaar/org. Nederlandse auto,60850.0,6,Petrol,Automatic,Hatchback,S7,43712
2000,Audi S4 Avant 4.2 V8 QUATTRO S4 PRO LINE,11500.0,15,Petrol,Automatic,Station wagon,S4,197358
2001,"Audi Q2 1.4 Tfsi 150pk CoD Sport, Parkeersensoren, Mmi navigatie, Telefoon",32300.0,1,Petrol,Manual,SUV,Q2,24048
2002,Audi A3 Limousine 1.4 TFSI CoD 150Pk S-Line S-Tronic automaat! 1e Eig|NL|DLR|Panoramadak|NAVI|Xenon,27750.0,5,Petrol,Automatic,Sedan,A3,62789
2003,Audi A4 Avant 1.4 TFSI Sport S-Line,47250.0,1,Petrol,Automatic,Station wagon,A4,10950
2004,"Audi A4 Avant 1.8 TFSI S LINE 18""LMV LED XENON LEDER NAVIGATIE PDC CRUISE",15700.0,8,Petrol,Manual,Station wagon,A4,144234
2005,Audi A6 Allroad 3.0 TDI Pro Line,7300.0,13,Diesel,Automatic,SUV,A6,239269
2006,Audi A4 Avant 2.0TDI 150PK S-LINE Aut.,47150.0,1,Diesel,Automatic,Station wagon,A4,7500
2007,Audi RS2 Avant,52450.0,25,Petrol,Manual,Station wagon,RS2,126395
2008,Audi A4 Avant AVANT TDI 150PK S-Line Competition [ XENON+LEDER+NAVI+PDC ],23000.0,4,Diesel,Manual,Station wagon,A4,38053
2009,"Audi A5 Sportback 1.8 Tfsi 145pk Adrenalin Sport Multitronic | Navigatie | Audi Sound | P-Sensoren | Xenon | 18"" Velgen | Fabrieks Garantie t/m 01-07-2020 of 100.000km",30950.0,3,Petrol,Automatic,Hatchback,A5,49055
2010,Audi A3 Sportback 1.5 TFSI 150pk CoD ultra S tronic Sport,38800.0,1,Petrol,Automatic,Hatchback,A3,4895
2011,"Audi A1 Sportback 1.0 TFSI 95PK Adrenalin / Navi / Airco / S-line / LED / Cruise control / Lederen stuurwiel / 18"" Velgen",20400.0,2,Petrol,Manual,Hatchback,A1,13247
2012,Audi A1 1.2 TFSI Admired | S-Line | Navi | Bluetooth,12550.0,6,Petrol,Manual,Hatchback,A1,136714
2013,"Audi A1 Sportback 1.2 TFSI S-Line - Navigatie, Airco/ECC, CruiseControl, S-Line, Sportinterieur, Parkeersensoren",14700.0,7,Petrol,Manual,Hatchback,A1,63254
2014,"Audi A4 AVANT 2.0 TDI Ultra Business Edition, Leder, Navigatie, Trekhaak, Xenon",18250.0,4,Diesel,Manual,Station wagon,A4,144625
2015,Audi A6 2.0 TFSI 180pk multitronic | NAVI | BOSE | 20 inch |,32500.0,5,Petrol,Automatic,Station wagon,A6,108841
2016,Audi A4 Avant 1.8 TFSI 170pk Business Edition Xenon Navigatie 200x Vw-Audi-Seat-Skoda,19300.0,6,Petrol,Automatic,Station wagon,A4,131249
2017,Audi A6 3.0 TDI PRO LINE BUSINESS / Audi drive select / 79.166 km / 18 inch LMV / Dealer onderhouden,26200.0,6,Diesel,Automatic,Sedan,A6,79611
2018,"Audi A3 Sportback 1.6 TDI 110pk Pro Line S Automaat, Navi, Climate/Cruise control, Parkeersensoren, Panoramadak, Xenon",17300.0,5,Diesel,Automatic,Hatchback,A3,159170
2019,Audi A3 Sportback 1.4 TFSI Attraction Pro Line plus Xenon Navi,17800.0,6,Petrol,Automatic,Hatchback,A3,125560
2020,Audi A6 50 TDI 286pk Tiptronic Quattro Sport Pro Line S + Zwart Optiekpakket + Panoramadak,96600.0,1,Diesel,Automatic,Sedan,A6,0
2021,Audi TT 1.8 5V 180pk Turbo *TOP ONDERH+RIEM VERV* Leder Stoelverw LM velgen,4100.0,20,Petrol,Manual,Coupe,TT,225264
2022,Audi A6 2.0 TDI Pro Line Plus | NAVI | 16| FULL |TOPSTAAT,15500.0,7,Diesel,Manual,Station wagon,A6,248500
2023,"Audi A3 Sportback 1.4 TFSI AMBITION PRO LINE S Dakrails, Kl. Navi",13500.0,7,Petrol,Manual,Hatchback,A3,101352
2024,Audi A4 Avant 2.0 TDI 110kW multitronic Bns Ed 5D Navigatie - Xenon,19350.0,5,Diesel,Automatic,Station wagon,A4,117607
2025,"Audi A4 2.0 TDI Pro Line Business 150 PK Xenon+Sportleder+Zwartehemel+Navigatie+17""=SUPER !!",21000.0,5,Diesel,Automatic,Sedan,A4,86475
2026,Audi A6 2.4 V6 | 1e eig.! | 56.013 km.! | Bijtellingsvriendelijk! |,11450.0,18,Petrol,Manual,Sedan,A6,56013
2027,Audi A4 2.0 TDI Ultra 163pk Advance Sport,18850.0,4,Diesel,Manual,Sedan,A4,177654
2028,Audi A3 1.6 ATTRACTION PRO LINE BUSINESS Clima/Navi/Cruise,6250.0,10,Petrol,Manual,Hatchback,A3,222238
2029,Audi A3 1.6 TDI Ambition Pro Line Business,8400.0,8,Diesel,Automatic,Hatchback,A3,255500
2030,Audi A4 Avant 1.4 TFSI Sport S line black edition 110 kW / 150 pk,54000.0,1,Petrol,Automatic,Station wagon,A4,0
2031,Audi A4 Avant 2.0 TDI Business Edition Xenon/Navi/Pdc/Ecc/Cr-Controle/17-Inch Lmv,17750.0,5,Diesel,Automatic,Station wagon,A4,140641
2032,Audi S3 Limousine 2.0TFSI 300pk S-Tronic Quattro! Full option NL|Dealer|Panorama|LED|Kuipstoelen|B&O,44550.0,5,Petrol,Automatic,Sedan,S3,57274
2033,Audi A6 2.4 Pro Line V6 130KW AUTOMAAT,8400.0,13,Petrol,Automatic,Sedan,A6,204174
2034,Audi A3 Sportback 1.0 116PK TFSI | S Line Edition Sport *NIEUW* (562977) | LED Koplampen | Optiek Zwart | Afgevlakt stuur |,37650.0,1,Petrol,Manual,Hatchback,A3,0
2035,Audi A3 Sportback 1.4 TFSI Ambition Pro Line S S-Line S-Tronic automaat 122pk! NL|1e Eig|NAVI|Xenon,23050.0,6,Petrol,Automatic,Hatchback,A3,100120
2036,Audi A1 Sportback 30 TFSI S Line edition one 116 pk S tronic (vsb 21598),44550.0,1,Petrol,Automatic,Hatchback,A1,0
2037,Audi A3 2.0 FSI Ambiente 3-deurs LM/CC/Sp. stoelen,6250.0,14,Petrol,Manual,Hatchback,A3,153860
2038,Audi A3 1.4 TFSI Ambition Pro Line S,14650.0,6,Petrol,Automatic,Hatchback,A3,149374
2039,Audi A3 Limousine 1.4 TFSI CoD Ambition Pro Line Plus,20500.0,5,Petrol,Manual,Sedan,A3,119623
2040,Audi A5 COUPE 2.0TFSI QUATTRO 252PK S-TRONIC S-LINE /FULL OPTIONS(NAVVK),73500.0,1,Petrol,Automatic,Coupe,A5,0
2041,Audi Q8 50 TDI 286pk QUATTRO PRO LINE S Head-Up display / Lederen bekleding / Achteruitrijcamera / Panorama dak Matrix LED Koplampen / Bang & Olufsen Soundsystem Advanced,147000.0,1,Diesel,Automatic,SUV,Q8,4500
2042,Audi Q3 2.0 TFSI quattro Pro Line | Panoramadak | Navigatie |,26200.0,7,Petrol,Automatic,SUV,Q3,65200
2043,Audi A6 AVANT 3.0 TDI 326PK COMPETITION TIPTRONIC,62900.0,3,Diesel,Automatic,Station wagon,A6,53456
2044,Audi A3 Sportback 1.4 TFSI Ambition Pro Line Xenon/5 drs/nwe APK!/6 versnellingen,7250.0,11,Petrol,Manual,Hatchback,A3,117450
2045,Audi A3 1.6 TDI ultra Attraction Pro Line plus Navi Climate Sportstoelen 200x Vw-Audi-Seat-Skoda,11950.0,5,Diesel,Manual,Hatchback,A3,175927
2046,Audi A5 Cabrio 2.0 TFSI 180pk multitronic,20400.0,9,Petrol,Automatic,Cabriolet,A5,92320
2047,Audi A6 2.0 TDI 150pk Ultra Automaat Avant S Line Edition,40750.0,2,Diesel,Automatic,Station wagon,A6,34667
2048,Audi TT 2.0 TFSI * 6 MAANDEN BOVAG GARANTIE *,15200.0,10,Petrol,Manual,Coupe,TT,131993
2049,Audi A4 2.0 TDI 150pk sport,24150.0,3,Diesel,Manual,Sedan,A4,118432
2050,Audi A4 Avant 2.0 TDi 04-2013 ::::: Leder Navi Chroom TH ::::,14200.0,6,Diesel,Manual,Station wagon,A4,172225
2051,Audi A4 Avant 1.8 TFSI PRO LINE S Xenon/Navi/Leder/Elek.klep/2xS-line,21800.0,6,Petrol,Automatic,Station wagon,A4,172287
2052,Audi A3 Limousine 1.0 TFSI 116pk SPORT S LINE EDITION Automaat Panoramadak,39300.0,1,Petrol,Automatic,Sedan,A3,16000
2053,Audi A3 Sportback 2.0 TFSI S-Line S3 optiek pakket,10000.0,13,Petrol,Automatic,Hatchback,A3,150802
2054,Audi A4 Avant 2.0 LEER / NAVI / TREKHAAK,8350.0,11,Petrol,Manual,Station wagon,A4,199895
2055,Audi A6 Avant 2.0 TDI 177PK NAVI Nieuw Model Chrome lijsten,16650.0,7,Diesel,Automatic,Station wagon,A6,155105
2056,Audi A4 Avant 2.0 TDI 150pk 2x S line B&O Panodak MMi-plus Standkachel Side Assist,23050.0,5,Diesel,Manual,Station wagon,A4,118629
2057,Audi A1 1.4tfsi pro line ambition s-tronic aut,12350.0,8,Petrol,Automatic,Hatchback,A1,113772
2058,Audi A8 50 TDI QUATTRO 210 kW / 286 pk .,115350.0,1,Diesel,Automatic,Sedan,A8,24501
2059,Audi A3 Sportback Lease edition 30 TFSI,37950.0,1,Petrol,Manual,Hatchback,A3,0
2060,"Audi A1 Sportback | Private Lease vanaf € 329,-* | 1.0 TFSI Advance",29050.0,1,Petrol,Manual,Hatchback,A1,0
2061,Audi Q5 2.0 TFSI quattro S-tronic S-Line Edition,83000.0,1,Petrol,Automatic,SUV,Q5,0
2062,Audi Q5 2.0 TFSI quattro Sport S Line Edition,75550.0,1,Petrol,Automatic,SUV,Q5,3010
2063,Audi Q3 1.4 TFSI CoD 150pk S-tronic Advance Sport + Panoramadak,48250.0,1,Petrol,Automatic,SUV,Q3,0
2064,Audi A8 4.2 quattro Pro Line,9600.0,14,Petrol,Automatic,Sedan,A8,228575
2065,Audi A3 Limousine 116pk S-tronic Lease Edition,30250.0,2,Petrol,Automatic,Sedan,A3,15000
2066,Audi A3 1.5 TFSI S-Tronic S-Line Edition,35700.0,2,Petrol,Automatic,Hatchback,A3,18500
2067,"Audi Q2 1.0 TFSI 116pk Sport Edition#1 S-Tronic, uw voordeel is € 3.095,-",43750.0,1,Petrol,Automatic,SUV,Q2,0
2068,Audi A4 Allroad 3.0 TDI 176kw/240pk quattro S-tronic 7,29350.0,10,Diesel,Automatic,SUV,A4,107589
2069,Audi A7 Sportback 55 TFSI 340pk S-tronic Quattro Pro Line Plus + S-Line Exterieur + Luchtvering + B&O Sound,93700.0,1,Petrol,Automatic,Hatchback,A7,4346
2070,Audi A6 Avant ALLROAD 3.0 TDI 160 kW / 218 pk 7 versn. S-tronic quattro Edition * LEDER * PANORAMADAK * SPORTSTOEL * VSB8164,81850.0,1,Diesel,Automatic,Station wagon,A6,0
2071,Audi TT 2.0 Tfsi Automaat Xenon Leder Navi Cruise PDC,14100.0,12,Petrol,Automatic,Coupe,TT,119349
2072,Audi A5 Cabriolet 2.0 TFSI MHEV Sport Pro Line S S-line interieur/ exterieur,53450.0,2,Petrol,Automatic,Cabriolet,A5,8179
2073,Audi A3 1.8 TFSI S-Tronic 180Pk AMBITION PRO LINE S,31950.0,5,Petrol,Automatic,Cabriolet,A3,46995
2074,Audi A4 Avant 2.0 TFSI MHEV Sport **,41900.0,1,Petrol,Automatic,Station wagon,A4,4077
